operation	card_record	pan_format	request_payload	limit_change	event_broker
patch	absent	invalid_luhn	empty	decrease	available
patch	absent	valid_luhn	full	increase	unavailable
patch	absent	wrong_length	invalid_field	negative	available
delete	absent	valid_luhn	empty	none	available
create	absent	valid_luhn	full	none	available
get	absent	wrong_length	empty	none	unavailable
patch	absent	valid_luhn	partial	decrease	unavailable
get	active	invalid_luhn	empty	none	available
delete	active	invalid_luhn	empty	none	unavailable
patch	active	valid_luhn	invalid_field	decrease	unavailable
patch	active	wrong_length	partial	increase	available
patch	active	invalid_luhn	full	negative	unavailable
delete	blocked	wrong_length	empty	none	available
get	blocked	valid_luhn	empty	none	unavailable
patch	blocked	wrong_length	full	decrease	available
patch	blocked	invalid_luhn	invalid_field	increase	available
patch	blocked	invalid_luhn	partial	negative	available
get	deleted	invalid_luhn	empty	none	available
get	deleted	valid_luhn	empty	none	unavailable
get	deleted	wrong_length	empty	none	available
create	absent	valid_luhn	full	none	unavailable
patch	absent	invalid_luhn	empty	increase	available
patch	absent	valid_luhn	empty	negative	available
patch	absent	invalid_luhn	invalid_field	none	available
patch	absent	invalid_luhn	partial	none	available
patch	active	valid_luhn	partial	increase	available
patch	active	valid_luhn	full	decrease	unavailable
patch	blocked	valid_luhn	partial	decrease	available
delete	active	valid_luhn	empty	none	available
get	active	valid_luhn	empty	none	available
