card_lookup	card_status	expiry	amount_vs_daily	amount_vs_monthly	amount_vs_balance	daily_usage	bin_lookup	cms_availability	terminal_type
found	ACTIVE	valid	above	below	above	no_usage	available	ok	atm
found	ACTIVE	current_month	below	above	above	partial	unavailable	ok	ecom
found	ACTIVE	valid	equal	equal	above	no_usage	unavailable	ok	pos
found	ACTIVE	current_month	above	equal	above	at_limit	available	ok	ecom
found	ACTIVE	expired	above	below	below	partial	unavailable	ok	pos
found	BLOCKED	valid	below	below	below	no_usage	available	ok	ecom
found	ACTIVE	expired	equal	above	below	no_usage	available	ok	atm
found	ACTIVE	current_month	below	equal	below	no_usage	available	ok	atm
not_found	ACTIVE	valid	below	below	below	no_usage	available	timeout	pos
found	EXPIRED	expired	below	below	below	no_usage	unavailable	ok	atm
found	INACTIVE	current_month	below	below	below	no_usage	available	ok	pos
found	ACTIVE	expired	above	above	below	at_limit	unavailable	ok	pos
found	ACTIVE	valid	above	above	equal	partial	available	ok	atm
found	ACTIVE	current_month	below	below	equal	no_usage	unavailable	ok	ecom
found	ACTIVE	current_month	equal	equal	equal	partial	available	ok	ecom
found	ACTIVE	valid	above	below	equal	at_limit	available	ok	atm
found	ACTIVE	current_month	equal	below	equal	no_usage	available	ok	pos
found	ACTIVE	expired	above	equal	below	at_limit	available	ok	ecom
found	EXPIRED	expired	below	below	below	no_usage	available	ok	ecom
not_found	ACTIVE	valid	below	below	below	no_usage	unavailable	timeout	atm
found	BLOCKED	current_month	below	below	below	no_usage	unavailable	ok	atm
found	INACTIVE	expired	below	below	below	no_usage	unavailable	ok	atm
not_found	ACTIVE	valid	below	below	below	no_usage	available	ok	ecom
found	BLOCKED	expired	below	below	below	no_usage	available	ok	pos
found	EXPIRED	expired	below	below	below	no_usage	available	ok	pos
found	INACTIVE	valid	below	below	below	no_usage	available	ok	ecom
not_found	ACTIVE	valid	below	below	below	no_usage	available	timeout	ecom
found	ACTIVE	valid	below	below	equal	no_usage	available	ok	ecom
found	ACTIVE	current_month	below	below	below	no_usage	available	ok	pos
found	ACTIVE	valid	below	below	above	no_usage	available	ok	ecom
found	ACTIVE	valid	below	below	below	no_usage	unavailable	ok	atm
